iter	Passed	Remaining
0	1	165
1	3	154
2	4	147
3	5	134
4	6	131
5	8	129
6	9	128
7	10	124
8	12	123
9	13	122
10	14	119
11	16	117
12	17	115
13	18	112
14	19	110
15	20	107
16	21	105
17	22	103
18	23	101
19	24	99
20	25	97
21	27	95
22	28	94
23	29	92
24	30	91
25	31	89
26	32	88
27	33	87
28	34	85
29	36	84
30	37	82
31	38	81
32	39	79
33	40	78
34	41	77
35	42	75
36	43	74
37	45	73
38	46	72
39	47	71
40	48	69
41	49	67
42	50	66
43	51	65
44	52	63
45	53	62
46	54	61
47	55	60
48	56	58
49	57	57
50	58	56
51	60	55
52	61	54
53	62	53
54	63	51
55	64	50
56	65	49
57	66	48
58	67	46
59	68	45
60	69	44
61	70	43
62	71	42
63	73	41
64	74	40
65	76	39
66	77	38
67	78	36
68	79	35
69	80	34
70	81	33
71	82	32
72	83	30
73	84	29
74	86	28
75	87	27
76	88	26
77	89	25
78	90	24
79	92	23
80	93	21
81	94	20
82	95	19
83	96	18
84	97	17
85	98	16
86	99	14
87	100	13
88	101	12
89	103	11
90	104	10
91	105	9
92	106	8
93	107	6
94	108	5
95	109	4
96	110	3
97	111	2
98	112	1
99	113	0
